company,specific_bean_origin_or_bar_name,review_date,cocoa_percent,company_location,rating,Bean_Type,country_of_bean_origin,trinitario_bean,criollo_bean,blend_bean,forastero_bean,new_rating
Ara,Chiapas,2014,72.0,France,2,,Mexico,,,,,2
Ara,Equateur,2014,75.0,France,2,,Ecuador,,,,,3
Ara,Trincheras,2014,75.0,France,3,,Venezuela,,,,,3
Arete,San Juan,2016,70.0,U.S.A,3,Trinitario,Trinidad,trinitario,0,0,0,4
Arete,Kokoa Kamili,2016,70.0,U.S.A,3,,Tanzania,,,,,5
Arete,Tien Giang,2016,73.0,U.S.A,3,Trinitario,Vietnam,trinitario,0,0,0,4
Arete,Hacienda Victoria,2016,70.0,U.S.A,3,,Ecuador,,,,,4
Arete,Costa Esmeraldas,2016,70.0,U.S.A,3,,Ecuador,,,,,4
Arete,Lachua,2016,70.0,U.S.A,3,,Guatemala,,,,,4
Arete,Rugoso,2016,70.0,U.S.A,3,,Nicaragua,,,,,5
Arete,"La Masica, FHIA",2016,70.0,U.S.A,3,,Honduras,,,,,4
Arete,"Coto Brus, Terciopelo",2016,70.0,U.S.A,4,,Costa Rica,,,,,6
Arete,Phantom,2016,70.0,U.S.A,4,Forastero (Nacional),Peru,0,0,0,forastero (nacional),6
Arete,Elvesia,2016,70.0,U.S.A,3,,Dominican Republic,,,,,5
Arete,Matasawalevu,2016,70.0,U.S.A,3,,Fiji,,,,,4
Arete,Lam Dong,2016,73.0,U.S.A,3,,Vietnam,,,,,4
Arete,Fazenda Camboa,2015,70.0,U.S.A,3,,Brazil,,,,,4
Arete,Nacional,2015,68.0,U.S.A,3,Forastero (Nacional),Peru,0,0,0,forastero (nacional),4
Arete,"Puerto Quito, heirloom",2015,70.0,U.S.A,3,Forastero (Nacional),Ecuador,0,0,0,forastero (nacional),5
Arete,Oko Caribe,2015,70.0,U.S.A,3,,Domincan Republic,,,,,4
Arete,Maya Mountain,2015,70.0,U.S.A,3,Trinitario,Belize,trinitario,0,0,0,5
Arete,Chuno,2015,70.0,U.S.A,4,"Criollo, Trinitario",Nicaragua,"criollo, trinitario","criollo, trinitario",0,0,6
Arete,Fazenda Camboa,2015,75.0,U.S.A,2,,Brazil,,,,,3
Arete,Guatemala,2015,70.0,U.S.A,3,,Guatemala,,,,,4
Arete,Camino Verde,2015,75.0,U.S.A,3,,Ecuador,,,,,4
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K,3,Trinitario,Trinidad,trinitario,0,0,0,4
Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K,3,,Colombia,,,,,5
Artisan du Chocolat,Haiti,2011,72.0,U.K,4,,Haiti,,,,,6
Artisan du Chocolat,Panama,2011,72.0,U.K,2,,Panama,,,,,3
Artisan du Chocolat,Venezuela,2010,100.0,U.K,1,,Venezuela,,,,,1
Artisan du Chocolat,Jamaica,2010,72.0,U.K,3,Trinitario,Jamaica,trinitario,0,0,0,5
Artisan du Chocolat,Costa Rica,2010,72.0,U.K,3,,Costa Rica,,,,,4
Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K,3,Trinitario,Vietnam,trinitario,0,0,0,4
Artisan du Chocolat,Bali,2010,72.0,U.K,3,,Indonesia,,,,,4
Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K,2,"Criollo, Trinitario",Venezuela,"criollo, trinitario","criollo, trinitario",0,0,2
Artisan du Chocolat,Java,2009,72.0,U.K,2,Trinitario,Indonesia,trinitario,0,0,0,3
Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K,1,,Brazil,,,,,1
Artisan du Chocolat,Madagascar,2009,80.0,U.K,3,"Criollo, Trinitario",Madagascar,"criollo, trinitario","criollo, trinitario",0,0,3
Artisan du Chocolat,Peru,2009,75.0,U.K,3,Criollo,Peru,0,criollo,0,0,3
Artisan du Chocolat,Dominican Republic,2009,72.0,U.K,3,Trinitario,Dominican Republic,trinitario,0,0,0,4
Artisan du Chocolat,Congo,2008,72.0,U.K,3,Forastero,Congo,0,0,0,forastero,5
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K,2,Trinitario,Colombia,trinitario,0,0,0,3
Askinosie,Mababa,2016,68.0,U.S.A,3,Trinitario,Tanzania,trinitario,0,0,0,5
Askinosie,"Tenende, Uwate",2011,72.0,U.S.A,3,Trinitario,Tanzania,trinitario,0,0,0,5
Askinosie,Cortes,2011,70.0,U.S.A,3,Trinitario,Honduras,trinitario,0,0,0,5
Askinosie,Davao,2009,77.0,U.S.A,3,Trinitario,Philippines,trinitario,0,0,0,5
Askinosie,Xoconusco,2007,75.0,U.S.A,2,Trinitario,Mexico,trinitario,0,0,0,2
Askinosie,San Jose del Tambo,2007,70.0,U.S.A,3,Forastero (Arriba),Ecuador,0,0,0,forastero (arriba),3
Bahen & Co.,Houseblend,2015,80.0,Australia,3,,Houseblend,,,,,4
Bahen & Co.,Papua New Guinea,2015,70.0,Australia,3,,Papua New Guinea,,,,,4
Bahen & Co.,Sambirano,2012,70.0,Australia,3,Trinitario,Madagascar,trinitario,0,0,0,3
Bahen & Co.,Bahia,2012,70.0,Australia,2,,Brazil,,,,,2
Bahen & Co.,Houseblend,2012,70.0,Australia,2,Blend,Houseblend,0,0,blend,0,2
Bakau,"Bambamarca, 2015",2015,70.0,Peru,2,,Peru,,,,,3
Bakau,"Huallabamba, 2015",2015,70.0,Peru,3,,Peru,,,,,4
Bar Au Chocolat,Bahia,2015,70.0,U.S.A,3,,Brazil,,,,,4
Bar Au Chocolat,Maranon Canyon,2014,70.0,U.S.A,4,Forastero (Nacional),Peru,0,0,0,forastero (nacional),6
Bar Au Chocolat,Duarte Province,2012,70.0,U.S.A,3,,Dominican Republic,,,,,4
Bar Au Chocolat,Chiapas,2012,70.0,U.S.A,3,,Mexico,,,,,4
Bar Au Chocolat,Sambirano,2012,70.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,5
Baravelli's,single estate,2012,80.0,Wales,2,,Costa Rica,,,,,3
Batch,"Dominican Republic, Batch 3",2016,65.0,U.S.A,3,,Domincan Republic,,,,,4
Batch,Brazil,2016,70.0,U.S.A,3,,Brazil,,,,,5
Batch,Ecuador,2016,65.0,U.S.A,3,,Ecuador,,,,,4
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K,3,,Malaysia,,,,,3
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K,3,,Malaysia,,,,,4
Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A,2,,Brazil,,,,,3
Beehive,"Dominican Republic, Batch 31616",2016,70.0,U.S.A,2,,Domincan Republic,,,,,3
Beehive,"Ecuador, Batch 31516",2016,70.0,U.S.A,2,,Ecuador,,,,,3
Beehive,Ecuador,2016,90.0,U.S.A,2,,Ecuador,,,,,3
Belcolade,Costa Rica,2010,64.0,Belgium,2,,Costa Rica,,,,,3
Belcolade,Papua New Guinea,2010,64.0,Belgium,2,,Papua New Guinea,,,,,3
Belcolade,Peru,2010,64.0,Belgium,2,,Peru,,,,,3
Belcolade,Ecuador,2010,71.0,Belgium,3,,Ecuador,,,,,4
Bellflower,"Kakao Kamili, Kilombero Valley",2016,70.0,U.S.A,3,"Criollo, Trinitario",Tanzania,"criollo, trinitario","criollo, trinitario",0,0,4
Bellflower,"Alto Beni, Palos Blanco",2016,70.0,U.S.A,3,,Bolivia,,,,,4
Bellflower,"Oko Caribe, Duarte P.",2016,70.0,U.S.A,3,,Domincan Republic,,,,,4
Belyzium,"Belize south, low fermentation",2016,83.0,Germany,2,Trinitario,Belize,trinitario,0,0,0,3
Belyzium,Belize south,2016,78.0,Germany,3,Trinitario,Belize,trinitario,0,0,0,3
Belyzium,Belize south,2016,83.0,Germany,3,Trinitario,Belize,trinitario,0,0,0,4
Benoit Nihant,Baracoa,2013,74.0,Belgium,3,Trinitario,Cuba,trinitario,0,0,0,4
Benoit Nihant,Chuao,2013,74.0,Belgium,3,Criollo,Venezuela,0,criollo,0,0,4
Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,3,Criollo,Venezuela,0,criollo,0,0,4
Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,4,Trinitario,Ecuador,trinitario,0,0,0,6
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,4,Trinitario,Indonesia,trinitario,0,0,0,6
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,3,Trinitario,Madagascar,trinitario,0,0,0,5
Bernachon,Nature,2012,55.0,France,2,,Nature,,,,,3
Beschle (Felchlin),Madagascar,2011,64.0,Switzerland,3,Trinitario,Madagascar,trinitario,0,0,0,3
Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,3,Criollo,Venezuela,0,criollo,0,0,3
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,3,,Venezuela,,,,,4
Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,4,,Ecuador,,,,,6
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70.0,Switzerland,3,Trinitario,Venezuela,trinitario,0,0,0,4
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,3,Criollo (Porcelana),Venezuela,0,criollo (porcelana),0,0,4
Beschle (Felchlin),"Java, Grand Cru",2010,64.0,Switzerland,3,,Indonesia,,,,,4
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,3,,Venezuela,,,,,4
Bisou,"Nicaragua, American style",2015,76.0,U.S.A,2,,Nicaragua,,,,,2
Bisou,"San Andres, American style",2015,76.0,U.S.A,2,,Costa Rica,,,,,2
Bisou,"San Andres, silk",2015,78.0,U.S.A,2,,Costa Rica,,,,,2
Bisou,Belize,2015,86.0,U.S.A,3,Trinitario,Belize,trinitario,0,0,0,4
Bittersweet Origins,Ghana,2012,72.0,U.S.A,3,Forastero,Ghana,0,0,0,forastero,4
Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A,3,,Indonesia,,,,,4
Bittersweet Origins,2009 Hapa Nibby,2010,70.0,U.S.A,3,Blend,"Dominican Rep., Bali",0,0,blend,0,5
Bittersweet Origins,"Bali, Singaraja",2010,65.0,U.S.A,2,,Indonesia,,,,,3
Bittersweet Origins,"Sambirano, 2009",2010,70.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,3
Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A,3,Criollo,Venezuela,0,criollo,0,0,3
Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A,3,,Dominican Republic,,,,,3
Bittersweet Origins,Puerto Plata,2009,65.0,U.S.A,3,,Dominican Republic,,,,,4
Bittersweet Origins,Sambirano,2009,75.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,4
Bittersweet Origins,Sambirano,2009,65.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,4
Bittersweet Origins,Sambirano,2008,71.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,3
Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A,3,,Panama,,,,,4
Bittersweet Origins,Puerto Plata,2008,68.0,U.S.A,3,,Dominican Republic,,,,,5
Bittersweet Origins,Ankasa,2008,70.0,U.S.A,3,Forastero,Ghana,0,0,0,forastero,3
Black Mountain,La Red,2008,70.0,U.S.A,2,,Dominican Republic,,,,,3
Black Mountain,Carenero Superior,2008,70.0,U.S.A,2,Trinitario,Venezuela,trinitario,0,0,0,3
Black Mountain,Matiguas,2008,70.0,U.S.A,3,,Nicaragua,,,,,3
Black River (A. Morin),Blue Mountain Region,2014,70.0,U.K,2,Trinitario,Jamaica,trinitario,0,0,0,3
Blanxart,"Congo, Grand Cru",2013,82.0,Spain,3,Forastero,Congo,0,0,0,forastero,4
Blanxart,Organic Dark,2009,72.0,Spain,2,,Organic Dark,,,,,3
Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,4
Blue Bandana,Lachua,2016,75.0,U.S.A,2,,Guatemala,,,,,3
Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A,3,,Tanzania,,,,,4
Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A,3,,Dominican Republic,,,,,3
Blue Bandana,Guatemala,2012,70.0,U.S.A,3,,Guatemala,,,,,4
Blue Bandana,Madagascar,2012,70.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,5
Bonnat,Selva Maya,2016,75.0,France,3,,Mexico,,,,,4
Bonnat,Kaori,2014,75.0,France,4,,Brazil,,,,,6
Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,3,,Dominican Republic,,,,,4
Bonnat,Surfin,2014,65.0,France,3,,"Venez,Africa,Brasil,Peru,Mex",,,,,5
Bonnat,Maragnam,2013,75.0,France,3,,Brazil,,,,,4
Bonnat,Gabon,2013,75.0,France,3,,Gabon,,,,,4
Bonnat,Cuba,2011,75.0,France,3,Trinitario,Cuba,trinitario,0,0,0,4
Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,3,,Peru,,,,,4
Bonnat,Piura Blanco,2011,75.0,France,3,Forastero (Nacional),Peru,0,0,0,forastero (nacional),4
Bonnat,Libanio,2011,75.0,France,3,,Brazil,,,,,5
Bonnat,Haiti,2011,75.0,France,4,,Haiti,,,,,6
Bonnat,"Madagascar, 100% criollo",2011,75.0,France,4,Criollo,Madagascar,0,criollo,0,0,6
Bonnat,Juliana,2011,75.0,France,3,,Brazil,,,,,4
Bonnat,Jamaique,2011,75.0,France,3,Trinitario,Jamaica,trinitario,0,0,0,4
Bonnat,Ivory Coast,2009,75.0,France,3,,Ivory Coast,,,,,3
Bonnat,"Porcelana, Apotequil",2009,75.0,France,2,Criollo,Peru,0,criollo,0,0,3
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,3,Criollo,Mexico,0,criollo,0,0,3
Bonnat,"Xoconusco, cacao Real",2009,75.0,France,3,Criollo,Mexico,0,criollo,0,0,3
Bonnat,"Porcelana, Venezuela",2008,75.0,France,4,Criollo (Porcelana),Venezuela,0,criollo (porcelana),0,0,6
Bonnat,Equateur,2007,75.0,France,2,Forastero (Arriba),Ecuador,0,0,0,forastero (arriba),2
Bonnat,Trinite,2006,75.0,France,3,Trinitario,Carribean,trinitario,0,0,0,5
Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,4,,Venezuela,,,,,6
Bonnat,"Maracaibo, El Rosario",2006,75.0,France,4,Criollo,Venezuela,0,criollo,0,0,6
Bonnat,Madagascar,2006,75.0,France,4,Trinitario,Madagascar,trinitario,0,0,0,6
Bonnat,One Hundred,2006,100.0,France,1,,One Hundred,,,,,1
Bonnat,Ceylan,2006,75.0,France,3,,Sri Lanka,,,,,3
Bonnat,Chuao,2006,75.0,France,4,Trinitario,Venezuela,trinitario,0,0,0,6
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77.0,Ecuador,3,Forastero (Arriba),Ecuador,0,0,0,forastero (arriba),4
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100.0,Ecuador,1,Forastero (Arriba),Ecuador,0,0,0,forastero (arriba),1
Bowler Man,Maya Mountain,2014,70.0,U.S.A,2,Trinitario,Belize,trinitario,0,0,0,3
Bowler Man,Conacado,2014,70.0,U.S.A,2,,Dominican Republic,,,,,3
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70.0,U.S.A,3,Criollo,Venezuela,0,criollo,0,0,4
Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70.0,U.S.A,3,,Nicaragua,,,,,5
Brasstown aka It's Chocolate,Conacado,2015,68.0,U.S.A,3,,Dominican Republic,,,,,5
Brasstown aka It's Chocolate,Maya Mountain,2014,70.0,U.S.A,3,Trinitario,Belize,trinitario,0,0,0,5
Brasstown aka It's Chocolate,Chuao,2014,70.0,U.S.A,4,Trinitario,Venezuela,trinitario,0,0,0,6
Brasstown aka It's Chocolate,Cooproagro,2013,72.0,U.S.A,3,Trinitario,Dominican Republic,trinitario,0,0,0,3
Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70.0,U.S.A,3,,Ecuador,,,,,4
Brasstown aka It's Chocolate,Ghana,2013,75.0,U.S.A,3,Forastero,Ghana,0,0,0,forastero,4
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85.0,U.S.A,3,Trinitario,Venezuela,trinitario,0,0,0,4
Brazen,Elvesia P.,2015,60.0,U.S.A,3,,Dominican Republic,,,,,3
Brazen,Elvesia P.,2015,80.0,U.S.A,3,,Dominican Republic,,,,,4
Brazen,"Alta Verapaz, 2014",2015,70.0,U.S.A,3,,Guatemala,,,,,4
Brazen,Ambolikapiky P.,2015,80.0,U.S.A,2,,Madagascar,,,,,3
Brazen,Maya Mountain,2015,80.0,U.S.A,3,Trinitario,Belize,trinitario,0,0,0,4
Brazen,Ambolikapkly P.,2015,60.0,U.S.A,3,,Madagascar,,,,,4
Breeze Mill,Jamaica,2013,70.0,U.S.A,3,Trinitario,Jamaica,trinitario,0,0,0,3
Bright,Somia Plantation,2014,72.0,Australia,3,Trinitario,Madagascar,trinitario,0,0,0,3
Bright,Marabel Farms,2014,70.0,Australia,3,,Dominican Republic,,,,,4
Bright,"Camino Verde, Balao, Guayas",2014,72.0,Australia,3,,Ecuador,,,,,4
Bright,Gran Couva,2014,68.0,Australia,2,Trinitario,Trinidad,trinitario,0,0,0,3
Britarev,Ecuador,2015,70.0,Russia,3,,Ecuador,,,,,4
Bronx Grrl Chocolate,Dominican Republic,2013,68.0,U.S.A,2,,Dominican Republic,,,,,3
Burnt Fork Bend,Trinidad,2014,72.0,U.S.A,3,Trinitario,Trinidad,trinitario,0,0,0,4
Burnt Fork Bend,Mindo,2014,72.0,U.S.A,3,,Ecuador,,,,,4
Burnt Fork Bend,Belize,2014,72.0,U.S.A,3,Trinitario,Belize,trinitario,0,0,0,4
Burnt Fork Bend,Blend,2014,72.0,U.S.A,3,Blend,Blend,0,0,blend,0,4
Burnt Fork Bend,"Ecuador, Bob Bar",2014,60.0,U.S.A,2,,Ecuador,,,,,2
Cacao Arabuco,Puerto Rico,2015,70.0,Puerto Rico,2,,Puerto Rico,,,,,2
